bin_index,phase,normalized_flux
263,0.51464844,0.0
264,0.51660156,0.0
265,0.5185547,0.0
266,0.5205078,0.0
267,0.52246094,0.0
268,0.52441406,0.0
269,0.5263672,0.0
270,0.5283203,0.0
271,0.53027344,0.0
272,0.53222656,0.0
273,0.5341797,0.0
274,0.5361328,0.0
275,0.53808594,0.0
276,0.54003906,0.0
277,0.5419922,0.0
278,0.5439453,0.0
279,0.54589844,0.0
280,0.54785156,0.0
281,0.5498047,0.0
282,0.5517578,0.0
283,0.55371094,0.0
284,0.55566406,0.0
285,0.5576172,0.0
286,0.5595703,0.0
287,0.56152344,0.0
288,0.56347656,0.0
289,0.5654297,0.0
290,0.5673828,0.0
291,0.56933594,0.0
292,0.57128906,0.0
293,0.5732422,0.0
294,0.5751953,0.0
295,0.57714844,0.0
296,0.57910156,0.0
297,0.5810547,0.0
298,0.5830078,0.0
299,0.58496094,0.0
300,0.58691406,0.0
301,0.5888672,0.0
302,0.5908203,0.0
303,0.59277344,0.0
304,0.59472656,0.0
305,0.5966797,0.0
306,0.5986328,0.0
307,0.60058594,0.0
308,0.60253906,0.0
309,0.6044922,0.0
310,0.6064453,0.0
311,0.60839844,0.0
312,0.61035156,0.0
313,0.6123047,0.0
314,0.6142578,0.0
315,0.61621094,0.0
316,0.61816406,0.0
317,0.6201172,0.0
318,0.6220703,0.0
319,0.62402344,0.0
320,0.62597656,0.0
321,0.6279297,0.0
322,0.6298828,0.0
323,0.63183594,0.0
324,0.63378906,0.0
325,0.6357422,0.0
326,0.6376953,0.0
327,0.63964844,0.0
328,0.64160156,0.0
329,0.6435547,0.0
330,0.6455078,0.0
331,0.64746094,0.0
332,0.64941406,0.0
333,0.6513672,0.0
334,0.6533203,0.0
335,0.65527344,0.0
336,0.65722656,0.0
337,0.6591797,0.0
338,0.6611328,0.0
339,0.66308594,0.0
340,0.66503906,0.0
341,0.6669922,0.0
342,0.6689453,0.0
343,0.67089844,0.0
344,0.67285156,0.0
345,0.6748047,0.0
346,0.6767578,0.0
347,0.67871094,0.0
348,0.68066406,0.0
349,0.6826172,0.0
350,0.6845703,0.0
351,0.68652344,0.0
352,0.68847656,0.0
353,0.6904297,0.0
354,0.6923828,0.0
355,0.69433594,0.0
356,0.69628906,0.0
357,0.6982422,0.0
358,0.7001953,0.0
359,0.70214844,0.0
360,0.70410156,0.0
361,0.7060547,0.0
362,0.7080078,0.0
363,0.70996094,0.0
364,0.71191406,0.0
365,0.7138672,0.0
366,0.7158203,0.0
367,0.71777344,0.0
368,0.71972656,0.0
369,0.7216797,0.0
370,0.7236328,0.0
371,0.72558594,0.0
372,0.72753906,0.0
373,0.7294922,0.0
374,0.7314453,0.0
375,0.73339844,0.0
376,0.73535156,0.0
377,0.7373047,0.0
378,0.7392578,0.0
379,0.74121094,0.0
380,0.74316406,0.0
381,0.7451172,0.0
382,0.7470703,0.0
383,0.74902344,0.0
384,0.75097656,0.0
385,0.7529297,0.0
386,0.7548828,0.0
387,0.75683594,0.0
388,0.75878906,0.0
389,0.7607422,0.0
390,0.7626953,0.0
391,0.76464844,0.0
392,0.76660156,0.0
393,0.7685547,0.0
394,0.7705078,0.0
395,0.77246094,0.0
396,0.77441406,0.0
397,0.7763672,0.0
398,0.7783203,0.0
399,0.78027344,0.0
400,0.78222656,0.0
401,0.7841797,0.0
402,0.7861328,0.0
403,0.78808594,0.0
404,0.79003906,0.0
405,0.7919922,0.0
406,0.7939453,0.0
407,0.79589844,0.0
408,0.79785156,0.0
409,0.7998047,0.0
410,0.8017578,0.0
411,0.80371094,0.0
412,0.80566406,0.0
413,0.8076172,0.0
414,0.8095703,0.0
415,0.81152344,0.0
416,0.81347656,0.0
417,0.8154297,0.0
418,0.8173828,0.0
419,0.81933594,0.0
420,0.82128906,0.0
421,0.8232422,0.0
422,0.8251953,0.0
423,0.82714844,0.0
424,0.82910156,0.0
425,0.8310547,0.0
426,0.8330078,0.0
427,0.83496094,0.0
428,0.83691406,0.0
429,0.8388672,0.0
430,0.8408203,0.0
431,0.84277344,0.0
432,0.84472656,0.0
433,0.8466797,0.0
434,0.8486328,0.0
435,0.85058594,0.0
436,0.85253906,0.0
437,0.8544922,0.0
438,0.8564453,0.0
439,0.85839844,0.0
440,0.86035156,0.0
441,0.8623047,0.0
442,0.8642578,0.0
443,0.86621094,0.0
444,0.86816406,0.0
445,0.8701172,0.0
446,0.8720703,0.0
447,0.87402344,0.0
448,0.87597656,0.0
449,0.8779297,0.0
450,0.8798828,0.0
451,0.88183594,0.0
452,0.88378906,0.0
453,0.8857422,0.0
454,0.8876953,0.0
455,0.88964844,0.0
456,0.89160156,0.0
457,0.8935547,0.0
458,0.8955078,0.0
459,0.89746094,0.0
460,0.89941406,0.0
461,0.9013672,0.0
462,0.9033203,0.0
463,0.90527344,0.0
464,0.90722656,0.0
465,0.9091797,0.0
466,0.9111328,0.0
467,0.91308594,0.0
468,0.91503906,0.0
469,0.9169922,0.0
470,0.9189453,0.0
471,0.92089844,0.0
472,0.92285156,0.0
473,0.9248047,0.0
474,0.9267578,0.0
475,0.92871094,0.0
476,0.93066406,0.0
477,0.9326172,0.0
478,0.9345703,0.0
479,0.93652344,0.0
480,0.93847656,0.0
481,0.9404297,0.0
482,0.9423828,0.0
